epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,283.096,0.58762,0.45387,0.2111,0.46895,1.25799,0.98567,1,0.995,0.83681,0.98567,1,0.995,0.93057,0.66457,0.31763,0.06242,0.85844,1.11733,0.004192,0.004192,0.004192
90,286.14,0.60579,0.46713,0.22496,0.47896,1.26324,0.95903,1,0.99397,0.90061,1,0.99139,0.995,0.91377,0.49987,0.34423,0.06306,0.54387,0.91724,0.004126,0.004126,0.004126
91,289.247,0.6009,0.37689,0.20524,0.493,1.29203,0.98728,0.96429,0.993,0.91838,1,0.99298,0.995,0.91553,0.44333,0.36526,0.05613,0.49449,0.86182,0.00406,0.00406,0.00406
92,292.386,0.60987,0.44907,0.20199,0.50147,1.28979,0.99713,1,0.995,0.91586,0.99713,1,0.995,0.92269,0.4246,0.3439,0.05606,0.46316,0.81971,0.003994,0.003994,0.003994
93,295.43,0.54803,0.39311,0.20073,0.45755,1.23921,0.99498,1,0.995,0.89243,0.99498,1,0.995,0.91703,0.48479,0.358,0.07264,0.59201,0.89419,0.003928,0.003928,0.003928
94,298.423,0.57395,0.45541,0.1921,0.45184,1.24444,0.99109,1,0.995,0.82909,0.99109,1,0.995,0.90888,0.64061,0.42543,0.12352,0.99421,1.1506,0.003862,0.003862,0.003862
95,301.476,0.56873,0.39006,0.19278,0.4785,1.2459,0.99726,1,0.995,0.87863,0.99726,1,0.995,0.86601,0.49,0.43103,0.13553,0.49944,0.91622,0.003796,0.003796,0.003796
96,304.572,0.60227,0.39378,0.20229,0.50644,1.29128,0.99761,1,0.995,0.90367,0.99761,1,0.995,0.8618,0.37116,0.40392,0.10694,0.47519,0.76707,0.00373,0.00373,0.00373
97,307.691,0.54879,0.50538,0.2052,0.45826,1.23849,0.98983,1,0.995,0.90541,0.98983,1,0.995,0.86859,0.35431,0.37132,0.09461,0.71032,0.74645,0.003664,0.003664,0.003664
98,310.761,0.53749,0.36837,0.19478,0.46221,1.22755,0.98942,1,0.995,0.90793,0.98942,1,0.995,0.9274,0.40992,0.35629,0.10956,0.7891,0.81602,0.003598,0.003598,0.003598
